transcripcion,efectiva,resultado_original,Tipo_Llamada
"El hotel La Fortuna habitación 307 No hay ningún problema, no hay ningún inconveniente. Perfecto, entonces le confirmamos a la persona que nos colabora, sin embargo, en cualquier una de las que suceda durante ese transcurso del tiempo se puede comunicar nuevamente con nosotros, ya verificaríamos cómo procede. Ok, no hay ningún inconveniente, muchas gracias. Con todo el gusto, hasta luego. Hasta luego, gracias.",0.0,Sin Clasificar,
"A mí no. Yo creo que se encargó un celular, hueá, que se lo recuerdo bien. El plan de movilidad nos enviaste un mensaje. ¿Qué servicios brindamos? Servicios de grúa, cambio de llantas, reinicio de batería y muchísimos más. ¿Estás interesado en este plan? Ah, no, no, disculpe. Lo que pasa es que el niño se encargó de un celular y fue que se metió donde no debía meter. Muy bien. Perfecto. ¿Tienes conocimientos de algún familiar, amigo? ¿Se encuentra interesado en planes asistenciales para mascotas, hogar, familiar, salud?",0.0,Contactado,
"Aló, muy buenas días, tengo el gusto de hablar con Javier Ramos. Aló, muy buenas días, finalizo ya más fuerte comunicación.",0.0,Sin Clasificar,Saliente
"Hola, buenas tardes. Hablo con Paula Andrea. ¿Qué tienen ahora? Paula, ¿cómo estás? Hablas con Melanina Noche. Nos comunicamos. ¿Cómo sigo para tu mamá? Hola, Melanina. ¿Cómo estás? ¿Qué tal? No, tranquila, no te preocupes. Paula, el motivo de mi llamada no te va a tardar mucho tiempo. El motivo de mi llamada no te va a tardar mucho tiempo. El motivo de mi llamada no te va a tardar mucho tiempo. El motivo de mi llamada no te va a tardar mucho tiempo. El motivo de mi llamada no te va a tardar mucho tiempo. El motivo de mi llamada no te va a tardar mucho tiempo. El motivo de mi llamada no te va a tardar mucho tiempo. El motivo de mi llamada no te va a tardar mucho tiempo. El motivo de mi llamada no te va a tardar mucho tiempo. El motivo de mi llamada no te va a tardar mucho tiempo. El motivo de puede estar bien tranquila y apoyada por nosotros. Bueno. Gracias. Les deseo un excelente día. Hasta luego.",0.0,Contactado,Saliente
"¿Es Marci? Sí, por... Permíteme por favor un momento. Mi servidor es por persona en línea, por favor, firma su número de documento. Dios, 75-598-622. Perfecto, permíteme por favor un momento más. Reacción. Te confirmo nombre completo, Ana Natalia Sánchez Reyes. Sí, señor. Te confirmo el número de teléfono al que le he tomado que es un sí hijo, 617-7856 ¿Te puedo dejar el número de... Sí, claro que sí. Por supuesto. Que es mejor. 312-498-6133 6173 Listo. 31333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333333 Ana Turi, Ana, Rayal Piso, Sanchez R, arroa, cum.edu.co. Te confirmo. Ana Rayal Piso, Sanchez R, arroa, cum.edu.co. Sí señorita. Listo, perfecto Ana. Entonces vamos a ver en este momento, yo ya me estoy comunicando directamente con el alguien cargada, las personitas que nos apoyan con estos códigos. y más o menos en unos 10 o 15 minutos yo misma te saldrá enviando un correo electrónico directamente a el mismo correo que tú me enviaste con toda la información que necesites ¿Listo? Listo, perfecto. Muy bien, con todo gusto.",0.0,Venta,Entrante
"Ah, no. Señora Melby, buenos días. Nuevamente he hablado con Joanne Catolli de asistencias con Facundi. Hola, Joanne, ¿cómo está? Muy bien. Yo con el servicio médico ya pasé. Así se le ha ayudado la doctora Méris García y estaré llegando entre una hora a dos horas. Perfecto. Perfecto. Claro que sí, mil gracias. Con todo el gusto. Hasta luego. Vale, Joanne. Feliz tarde. Chao.",0.0,Contactado,
"Aló, aló, aló. Aló, muy buenas tardes, se me gusta contactarme con auxilio del ACES. ¿A quiénes se senta? Mucho gusto, se saludó a Jimmy Gou, que es el de Tienes Soluciones, se me gusta comunicarme con auxilio del ACES. ¿Para qué la necesita? Me traté de contactarme con ella para explicarle y brindarle información sobre nuestro plan de movilidad, ya que ella dejó un registro a través de Facebook. No, no, muchas gracias, yo soy una vicenda y me No entiendo, no entiendo. En general, si yo te presento en este caso tú no te acuerdes de ver el registro, pero déjate como tal ese número telefónico, en este caso déjate tu número y aprecio. Gracias, gracias.",0.0,Contactado,Entrante
"Este es el servicio de contestador para 3-1-1-3-3-8-4-6-5-5. Por favor deja tu mensaje después de escuchar el sonido. Si necesitas volver a grabar presiona la tecla numeral. de la Fónica Linda al día de ayer. Igualmente queremos recordarle que la línea se da al día 24-7. En lo que podamos colaborar, no duden en contactarte con nosotros. Que tenga buen día.",0.0,Sin Clasificar,Saliente
"¿Qué es lo que le dices? Gracias. Pero es hacer registro en Facebook. ¿A qué causa es hacer registro? No, no, no es para una castellación, pero no. Ah, ok, entiendo. Vale, pero no es que no vale por hacer una mila más. Bueno, ya. Gracias.",0.0,Sin Clasificar,Saliente
"Hola, muy buenas tardes. Hola, muy buenas tardes. Hola, muy buenas tardes. Me gustó contactarme con Adriana Sánchez, Rica Orte. Adriana, me gustó el saludo de parte de S.L.T.N.S. Soluciones, ¿cómo estás? Muy feliz. Y gracias. Me gustó contactarme contigo porque haces un registro a través de Facebook, buscamos información sobre nuestro plan asistencial en ciclas de salud complementarias. Me gustaría que así te acuerdes del registro. que sí, cuéntanos. Ok, perfecto. Actualmente en qué ciudad resides, señora Adriana? Perdón? Actualmente en qué ciudad resides, señora Adriana? Medellín. Medellín, dale, perfecto. ¿Me puedes confirmar en ese caso si lo buscas solo para ti o para tu no-peo familiar? Sí, no sé, no-peo familiar, no sé. Ok, perfecto. Mérate conmigo. Este programa de asistencia está diseñado para ayudar a un control y prevención sobre la salud de las personas. Actualmente manejamos el servicio bajo las en este caso las duraciones 24 horas del día los 7 días de la semana manejamos varias asistencias 24-7 o sea que esto lo puedes obtener en un momento que tu lo necesites por ejemplo los 24 horas del día los 7 días de la semana también manejamos directamente asistencias que te vamos a brindar de respaldo o sea que sea puntual y sin tiempos de carencia ideales para pues a que ya sabemos que las CPS actualmente pues el sistema se redonde en Colombia se está colapsado prácticamente por el tema de interventiones y demás en este caso para una cita, un examen, algo así parecido tienes que esperar 3 o 4 semanas para que te puedan vender un servicio así, ¡correcto! mientras que con nosotros puedes hacer apps y servicios rápidamente sin tiempo de carencia y lo más importante, no vas a dejar como tal tu OPS, no tienes que dejarlo, no tienes que dejarla pero en este caso se te alinean con servicio adicional cualquier imagen diagnóstica, cita con especialista, cualquier otro servicio que tengas que hacer valida y se alinean al servicio, ¡y eso! ¿Trabajan con las EPS o son...? consulta con médico a homicidio Si señor, si, si lo entiendo Si, por favor, me das costos por favor por una sola persona es de 60 mil pesos pero pues se tiene una excelente noticia si tu te afilias hoy mismo que te puedo unir a que te quede el valor más económico y te queden tan solo 59 mil 19 ok y puedes afiliar otra persona afiliar un beneficiario por un costo más económico por los mismos privilegios si el beneficiario va a ser un negocio privilegio si el beneficiario se podría brindar un valor mínimo a los 59.900, que es el valor final que se podría brindar. Por las dos personas, ¿cierto? No, una persona por 59.900 y la otra persona que se desactiva por tan solo 46.900. Ah, ya. ¿Y esto sigue a ti la tarifa o no más por hoy? No, la tarifa sigue así. La tarifa sigue así por todos los siguientes meses. Por los 12 meses del año sigue la misma tarifa, no va a ser así. que pagar ningún valor adicional, ni otro valor específico. ¿Te puedes dar una respuesta? Sí, sí porque no estoy, no nos encontramos el día de mañana. OK, está hablando en ningún inconveniente, yo te comparto la información para que la puedas validar, en este caso puedes estar super atento. Sí, comparto la información al por su WhatsApp para que la valides y nos podemos contactar en el transcurso. Sí, está hablando y me relacionas con tu nombre también. Mi nombre es Jimmy Rusin, soy asesor de CAC en Soluciones, ¿sabes? y me lo contestar con ti. Dale, buena tarde.",1.0,Contactado,Saliente
"Hola, si dejas tu nombre y el motivo de tu llamada, revisaré si esta persona está disponible. Muy buenas tardes, Diego me presenta, mi nombre es Mélanie Ramírez, estoy llamando, ese le tiene soluciones. El motivo de mi llamada como tal era para olvidar la existencia que recibieron el día de hoy de la mascotica. Gracias, permanece en la línea. el motivo de mi llamada era para consultar la asistencia que tuvieron el día de hoy vemos registros que se invitaron a una consulta veterinaria de domicilio y queríamos saber cómo les había ido. Ah, sí, bien, gracias. Ellos vinieron y ya revisaron el carrito y todo. De acuerdo, Diego, me da muchísimo gusto que todo haya salido muy bien, sin embargo el día de mañana nos volvemos nuevamente a comunicar contigo para validar cómo sigue Toniéselo, ¿listo? Vale, listo, perfecto. Bueno, Diego, no estamos listos más. Mil gracias por atenderme llamada y que tengas una excelente día. Vale, gracias.",0.0,Contactado,
"¿Cómo estás? Muy bien, muy amable. ¿Señora? No, ¿mascota no? Ah, ok. De pronto esta asistencia te interesa, ¿con qué intención realizaste el registro? No, no. Gracias. Vale, ya eres. Gracias.",0.0,Contactado,
"Bueno, claro. Sí, yo la mismo, la misma. Aquí como a Adripada, ha estado muy enfermita. ¿O lo estás buscando directamente para ti o es otro plan asistencial que estás buscando información? Eso como que yo no entiendo cómo es eso. Cagli vení a escuchar, yo no entiendo muchas cosas. Eso como que como así es. ¡Vení Cagli! Eso como para qué, amigo. de llanta y asesoría jurídica. En este caso tú realizaste el registro buscando más información sobre esta pauta publicitaria y por eso yo me estoy contactando contigo el día de hoy. No, papá, yo soy muy viejita, yo soy una viejita, ¿y para qué me pongo en eso? Yo soy una viejita de 70 años. Ok, vale, perfecto, señora, por lo que acabo de escuchar es un registro de reunión que realizaste. Eres mi amable por atenderme llamada antes, ya voy a cerrar el proceso de la plataforma. Hasta luego, gracias. Ah, bueno, hasta sus órdenes.",0.0,Contactado,
"Aló, aló, aló. Sí, ¿me escuchas? Sí, ya te escucho. Listo Felipe, entonces te estaba confirmando tus datos, entonces nombre completo John Felipe Reyes Hernández con nombre de identificación 1030-657-639 y número de teléfono 302-290-9555, ¿correcto? Sí, perfecto. Me está de acuerdo, en este momento te voy a hacer unas pequeñas preguntas con el fin de enviárselas directamente al profesional para que podamos realizar el Entonces el proceso partilente. Liz, indícame por favor, ¿qué síntomas tienes? No, no, no, no. ¿Tiene algo en el ojo? No, nada, no. ¿Qué edad tienes? 30. De acuerdo. Entonces, en este momento, Felipe, te hago la consulta. ¿Tú crees que el dolor que tienes en este momento en el ojo es importante que vaya directamente al médico o se puede hacer directamente una orientación telefónica con el médico general? Yo creo que puede ir. Es más de pronto a que me reice, que no tenga nada. Y más lo que yo te digo es porque como un solente es de contacto, es por eso, me preocupa hacer eso. Listo, tranquilo. Indícame por favor la dirección de domicilio. Carrera 78B de Bogotá, número 105. Interior 5, apartamento 401. Te confirmo nuevamente, Carrera 78B de Bogotá, número 105. Sí, 105, sí. Vives en conjunto, ¿correcto? Sí, sí. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. Techo 4. de una más listo yo sí estoy en la unidad de 100 entonces ya voy para mi casa entonces de acuerdo más o menos cuánto te estarías demorando por ahí media hora ok listo vamos a hacer una cosa normalmente las disponibilidades no tienen un ejemplo si tú te demoras por ejemplo media hora es muy posible que lleguen antes listo más sin embargo entonces si tú gustas en media ahorita más o menos entre las 12 y 12 y cuarto te",0.0,Venta,
"Hola. Hola, muy buenas tardes. Me gustó contactarme con Juliet. Juliet, mucho gusto. Te saludo, Jimmy Ruskin. ¿Tienes soluciones? ¿Cómo estás? Hola, buenas tardes. Te saludo, Jimmy Ruskin, que de parte se detiene en soluciones ya que viajaron un registro en Facebook buscando información sobre nuestro programa asistencial para mascotas. Hola. Hola, buenos días.",0.0,Contactado,
"Hola, buenas tardes, estoy comunicando por favor con la señora Margarita. Ya se la comunico. Gracias. Ah, no. Hola, buenas tardes, me comunico por favor con la señora Margarita. Ahá, dígame. Señora Margarita, hola, te habla Tienes Rodríguez, desde que le tienes soluciones. De qué? De que le tienes, señora Margarita. No sé qué es. De qué contacto. Me contacto, nosotros brindamos servicios asistenciales en estos casos. ¿Qué pena no te entiendo, qué me estás diciendo? ¿Te está interesada señora Margarita? ¿Qué estás buscando? No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no Hola, buenas tardes. Estamos en el servicio de móvil de acceso para carro o moto. Servicio, usted es tan específicamente de grúa, cambio de llanta, reinicio de batería, ¿correcto? No, nada. No, no soy. ¿Por qué motivo nos contactaron? No, yo no he contatado. ¿Qué número le dijeron? ¿Le dijeron este número? Sí, justo de esta misma línea. nos enviaron un mensaje a través de WhatsApp. Ya no tengo carro ni mochón. Bueno, muy amable, muchas gracias. Gracias. Hasta luego. Hasta luego.",0.0,Contactado,Saliente
"Este es el servicio de contestador para 3, 1, 2, 6, 8, 4, 5, 6, 5, 6. Por favor deja tu mensaje después de escuchar el tono. Si necesitas volver a grabar, presiona la tecla numeral. ya que este prescuelo que sería la dígita diagnóstico del electrodoméstico. Queremos atentos a cualquier novedad que presente. El servicio le confirmo nuevamente que daría finalizado. Que tengan un excelente día.",0.0,Sin Clasificar,Saliente
"Bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, bueno, Me confirmas por favor el recién? Por favor, me voy a comprar. Ok. Algo que se le va por guardar, ¿correcto? Si, entonces yo le haré información de como quedó la cita del interés dental por ese medio para que tenga presente la información. Ya me comunico por ese medio, ¿vale? Ok. Bueno, vale, mucho rezo. Cuanto a él gusta, hasta luego. Hasta luego.",0.0,Contactado,Saliente
"Hola, buenas tardes. Hola, buenas tardes. Por favor, con Javier Frero. Hola Javier, ¿cómo estás? Hablas con la señora Aldana, que se llama de S.L.T.S. Elecciones. ¿Cómo te ha ido? ¿De dónde? Perdón. De S.L.T.S. Elecciones. El que deja su registro con nosotros. Preguntamos sobre el plan de mascotas. Si, pero no sé, no va a ser el viaje todavía. ¿Cuál viaje, perdón? De mascotas. ¿Qué me dicen? Eso es más de viaje, ¿no? Bueno señor, es una serie al reviso para preguntar sobre un plan que precisamente les cubre pues las asistencias de tu mascota ¿Qué mascota tienes? Ah, yo tengo una de maravilla criolla Una ¿Qué perdón? Que te escucho le voy a decir. Una criolla. ¿Una perrita? Criolla. Tiene un perrito criollito. Oh, criollito. ¿Y cómo se llama? De Lupita. Ok, perfecto. Mira, la idea es como tal de este plan que te he puesto un tanto ayer es que Lupita puede ser una de las asistencias. Como ve que nadie ha homicidio, Bueno conmigo ya llevan 4 años por control, de pronto por alguna urgencia y pues eso es algo que obviamente va a interferir en su bolsillo, ¿cierto? Perfecto, ¿qué pasa? Con nosotros la idea es que con el plan de mascotas, en este caso de parte de nuestra empresa, podamos tener como una asiliación a una membresía a Tejalupita, que ya durante todo el año, pues pueda tener ciertas asistencias y más asistencias, soluciones pues para este tipo de casos. ¿En qué consiste como sale el plan de Don Javier? Precisamente el plan en que pueda tener como le indicaba que veterinario a en casa o en una clínica de la red es decir que puedan ir decididos de los profesionales pues la subidienda pues para que no tenga que pronto sacar a la pita o que no pueda gastar dinero en lo que sería dentro de este transporte si no más tu no se donde reside en que ciudad esta ubicado en Chiquinquirá o de acá perfecto la idea es validar la cobertura mientras la clínica del sistema de la cobertura que tenemos en Chiquinquirá pero la idea es comentar que más tiene el plan de mascotas, orientación veterinaria telefónica entonces en ejemplo, imagínense que a las 10 de la noche de pronto ve a Lupita que de pronto no está comiendo bien de pronto está decaída su Mercedes se va a preocupar que es algo muy normal porque hoy día pues nuestras mascotas son muy importantes con nosotros, cierto? que si, eso es lo que pasa con nosotros, después va a tener toda la tranquilidad, don Javier de poder levantar el teléfono, generar una llamada y que uno de nuestros profesionales lo atiendan y también el ordenador de la orientación de primeros activos o de un fundado caro que lo requiera telefónicamente, así que lo requiere pues que podamos, e incluso, remitir lo que quede un veterinario a su vivienda, ¿listo? Sí. Es como tal la idea que todos nosotros le asilemos a Lupita, es una semejante clara que está en chiquín y que la voy a caer, ¿cierto? Sí, sí. Listo, entonces directamente en el departamento de Boyacá tenemos cuerpos en lo que es la ciudad de ¿Son las que viajan a mucha Tunja o es casualidad? No, solo chiquinquirá, desde el cuanto viaja a Tunja. Si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, si, El producto mensual es 50 mil pesos y le brindamos casi 11 asistencias. y podemos comunicarlo listo. Listo, sumo el servicio. Gracias, muchas gracias. Vale, un saludo, hasta luego, feliz día. Hasta luego, que estés muy bien.",1.0,Contactado,Saliente
"Después del tono, grave sin infraccion. Muy buenas tardes, yo hablo Daniela Lanceres, me estoy comunicando de la línea de asistencia de CELO-Tiene. El motivo de mi comunicación era para poder validar el día de hoy el estado de salud de Ana María Pulido con respecto a un servicio médico telefónico brindado al día de ayer. Queríamos verificar cómo continuamos y recordarles que la línea que ha habilitado 24-7 se presenta alguna novedad, no deuden contactarse con nosotros. Que tengan buen día.",0.0,Sin Clasificar,Saliente
"Hola. Hola, buenas tardes. Buenas tardes. Hablo con Dana. Sí, tengo la. Hola, Dana, ¿cómo estás? Hablo con Dana. Es un rato que conoces en Google, comunicando para la orientación telefónica con el médico general. Quería oirle a contigo si te prestaron mis servicios. Sí, claro, que sí. Perfecto. Quería confirmar contigo lo que pasa es que ya me enviaron un reporte, sin embargo, ellos me indican que es importante enviarte el médico a casa. No sé en ese momento dónde te encuentras, en la universidad o en casita. Esto es la miércoles en la oficina. De acuerdo, deseas que te envíe el médico directamente a la... No sé, si pudiera dar, y te das un caso para por la tarde, no es que te llegues en la casa. De acuerdo, es importante que tengas presente, no se puede agenda, ya que todo el tiempo están llamando para pedir los médicos, entonces no puedo parar los médicos ahorita para que puedan llegar a la hora que comunique. Es importante que tengas presente que primero debes estar en el punto, en este caso pues en tu casa, para poder pedir el servicio y poder que lo unidades. porque si tú me digas no, yo llego a las cinco, pero es muy probable que no llegues a las cinco, es muy probable que entonces se demoren mucho más de lo normal porque están atendiendo a otras personas, pueden estarles a los del punto. Entonces como para no tener ese tipo de inconvenientes, importante primero que llegues directamente a la casa y cuando ya estés en la casita te vuelves otra vez a comunicar y validamos entonces la distribuida para coordinar el servicio sin ningún problema. Ya tú me indicaras cómo lo deseas manejar. No te estoy escuchando nada. ¿A mí me escuchas? Ya, ya te escucho. ¿Te preguntaba qué servicio ven ahí con estas capturas? De 247. O sea... O sea, no te capismo que llegó a mi casa y yo llamo y como ya suprísabas pues ahí ya lo que tenemos es el servicio. Así es, exactamente. Siempre y cuando lo pidas, hoy mismo. Exactamente. Vuelvo a llegar a la casa con el otro chete de atón y para aquí me agenden. Listo, perfecto. Vale, claro que sí. Vale, muchísimas gracias, el señor Amable. Bueno, con todo gusto que estés bien.",1.0,Contactado,Saliente
"¡Halo! Muy buenas tardes, tenemos que hablar con Colina Hernández José Hernández ¿Qué es? ¿De parte de qué? Me gusta hablar con Hernández, me arrebaté si él tiene soluciones ¿Cómo estás el día de hoy? Ah...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo...halo En este caso es para tu carro, tu moto, me podías indicar el tipo de vehículo que tienes? Ah, no, es mi hija que me puso las leyes porque no tengo ni moto ni vehículo ni carro. De acuerdo, pronto te acuerdes de quién deja el registro sobre el interés? Ah, bueno, pues sí, vamos a dejar la línea porque obvio deje el teléfono. Sí. Vale, listo. Vale, listo, mejor lo... Bien, hasta luego.",0.0,Contactado,Saliente
"¿Cómo se encuentra el día de hoy? Bien, gracias. Me alegra mucho que se encuentre muy bien. Me comento el motivo de mi llamada es porque dejó registrados sus datos, a lo cual se encontraba interesada en nuestro plan asistencial para su vehículo, ¿es correcto? No, no. ¿Cómo? Tengo el nombre de Teresa Cardenas. ¿Cómo se encuentra? No tengo vehículo. De acuerdo, es que sumerce, dejo registrado así sus datos. Sí, tengo otra Teresa. ¿Cómo? ¿Será otra Teresa? No, no creo que sea otra Teresa porque Teresa Cardenas Olaya. Mancilla. Sí, pero sumerce, ¿no es este nombre entonces? ¿Están en su línea, señora Teresa? Sí, sí, sí, sí. ¿De dónde es que me llaman? Deselequienes soluciones. Bueno, voy a dejar la observación hacia donde dejan los datos que estén bien.",0.0,Contactado,Saliente
"Muy buenas tardes. Muy buenas tardes, con Rousy Barra, me estoy comunicando de si le tienen soluciones. Me contacté en ese momento contigo debido a un registro que tenemos, solicitando información acerca de nuestros servicios. ¿Lo recuerdas? Vale, te hago una pregunta. ¿Tienen mascotas en el hogar, perrito, gato? No. Vale. ¿Tema de salud ya lo tienes validado con algún tipo de asistencia?",0.0,Sin Clasificar,Saliente
"Muy buenos días, mucho gusto hablar con el señor Gabriel. ¿Con el habla? ¿De dónde? ¿Cómo está? Muy bien, si podemos ir a llamar al señor Gabriel, es porque quiero saber cómo sigue Felipe, estado de salud. Ah, mejor, mejor. Gracias. Gracias. ¿Y si se le deja una línea, está disponible 24-7 para cualquier persona que pueda llegar a presentarlo, no? Sí, sí, sí, sí, sí, sí, no, muchas gracias, mi hijo. Vamos, si se le deja un buen día, que esté muy bien.",0.0,Contactado,Saliente
"aló aló aló muy buenas tardes tengo un gusto a las con custodia quien llama? es Andrés Barbera que se acabe de su edición, eso no es tenes como que se hace este día de hoy? no no entiendo nada",0.0,Contactado,Saliente
"en estado de salud. Sin embargo, ante cualquier novedad estamos atentos disponible 24-7. Listo, señor, muchas gracias. Con todo el gusto, hasta luego. Hasta luego.",0.0,Sin Clasificar,Saliente
"Y del tono, grave su mensaje. Para finalizar, presione numeral. Muy buenas tardes, mucho gusto. Le habla Johan Casuaredes y le tiene instrucciones. Este mensaje es para el señor Luis Enrique Ramírez, con el fin de confirmar como contiene la Nuestra de Salud Luis Samuel Ramírez Vélez. Le recuerdo que ante cualquier nueva actitud presente en el que le podamos colaborar, estaremos atentos y disponibles 24 a 7. Por el momento, nuevamente le recuerdo que habló con Johan Casuaredes y le tiene instrucciones. Y les debo una excelente tarde. Hasta luego.",0.0,Sin Clasificar,Saliente
"Muy buenos días. Buenos días. Mucho gusto hablar con Andrés Barrera de Se le Tiene Soluciones. ¿Cómo estás el día de hoy? Muy bien. Me alegra mucho que te encuentres muy bien. Te comento, me comunico contigo ya que a través de WhatsApp dejaste registrado el internet en nuestro plan asistencial para tu vehículo. ¿Vale? En este caso, de otro caso, si te buscas esta información, me puedes indicar. ¿Con quién dice usted? Con Se le Tiene Soluciones. ¿Qué le llamaste en los WhatsApp? Dejaste los datos registrados por WhatsApp. De pronto te acuerdes. Que no me acuerdo. Vale, listo. En este momento te voy a juntar un mensaje a través de tu WhatsApp. Me confirma si te llegó. Ahí puedes desear que tú nos escribiste. ¿Me indicas, por favor? que acabé de enviar el mensaje de movilidad. Ah, pues no lo he visto. Vale, listo. Como ahorita llegó la señal, no teníamos señal, nosotros ya hicimos tres días. Por la 5 llega y vuelve y se va, entonces. Vale, listo. De pronto, ¿te acuerdas del interés en nuestro plan de movilidad? ¿Tienes moto, tienes carro? Pues no tengo porque no se maneja. Ah, vale, listo. De pronto dejas tus datos por en... Bueno, bueno, gracias.",0.0,Rechazado,Entrante
"Aló. Buenos días, tiene muy gusto con... Aló, hábleme que estoy ocupado acá en una clínica. ¿Qué necesitas? No sé. Dejo un registro en Facebook buscando información sobre nuestro plan asistencial para mascotas. ¿Me confirma si es correcto esta información? Yo, por favor. Yo no tengo perro. Chao, más bien.",0.0,Contactado,
"Aló, Paola. Hola, Paola, ¿qué tal? ¿Cómo estás? Paola, Daniel, ¿cómo te ha ido? Bien. Ah, bueno, Paola, te estoy llamando porque nos dejaste tus datos a través de nuestras redes sociales, solicitando información sobre el plan mascotas. ¿Lo recuerdas? Ah, bueno, ¿tienes cinco minutos? ¿Soy oportuno? Sí. Ah, bueno, perfecto, bueno. Antes de continuar, me gustaría, por favor, que me des una información. Te voy a hacer una preguntita rápidamente. ¿Qué mascotas tienes, un perro o un gatito? Listo, ¿cuánto tiempo tienes? Uy, se escuchó, se escuchó muy lejos, Pablo, la disculpa, me parece que estás en la calle, ¿cierto? Dame, me voy a dar la telana entonces, Pablo.",0.0,Contactado,Saliente
"¿Aló? ¿Aló? ¿Aló? Me está comunicando de los de Ciudad de la Conchucundi. Sí, señora. Quería informarles que ha recorrido el servicio médico a domicilio. Nos indican que la móvil estaría llegándole próximamente, en los 45 minutos. ¿Listo? Listo, muchísimas gracias. Bueno, que esté muy bien. Hasta luego.",0.0,Contactado,Saliente
"¿Me comunicó con la señora Nelly? Sí. ¿Cómo estás? ¿Cómo te encuentras? Perdón, ¿a quién hablas? Con Paula, señora Nelly, el motivo principal de mi llamada es por qué no suscribiste por WhatsApp. Solídame información sobre el Plan de Salud. Quisiera saber si tienes conocimiento, recuerdas de... No, yo no he llamado eso. Esa es una señora que es de Dubai. de por allá. Es una señora de por allá de Dubai. Le pone a uno mecánicos y te dice que de salud. No, en este caso no somos de Dubai, señora Nelly, directamente somos una empresa donde vendemos planes asistenciales y motos principales. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es así, señor Anelis. No, no es ¿Ves? Ya no tengo el poder de utilizar mi vida. ¿Y si no tiene que trabajar en un desaberto? ¿Yo tengo que contar con lo que yo he de que compré? ¿Sí o no? No, eso no ha sido que ya quiera. Me queda el vacío, no es para nada.",0.0,Contactado,Saliente
